	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Rarg	1758.00919837048	-0.121384674862379	0.0768197731859648	-1.58012279688111	0.114078747538785	0.999680625307699
Pfdn5	1526.39285188701	-0.0243767996132486	0.0675443220229307	-0.360900796442563	0.718173608182369	0.999680625307699
Efnb2	505.701704259821	-0.139881936543738	0.0978217895237695	-1.42996705769473	0.152726474037597	0.999680625307699
Rrp15	185.291776456844	0.0709970341096703	0.128759910778344	0.551390830270839	0.58136578526803	0.999680625307699
Rnd2	293.768088765736	-0.0437582040040196	0.107910250346052	-0.40550553690399	0.685105949303982	0.999680625307699
Srr	280.320563308738	-0.0826043619383927	0.113753087777175	-0.726172480699619	0.46773304005581	0.999680625307699
Sync	75.5057396319419	0.148801276000586	0.255513659610421	0.582361335309673	0.5603233194119	0.999680625307699
Fndc5	497.4775337238	0.107920676281389	0.112117686045568	0.962566032958677	0.335765350376884	0.999680625307699
Acp5	1179.18561393547	0.196788379394163	0.825515535624806	0.238382405783823	0.811584512296376	0.999680625307699
Cnn1	244.70267068536	-0.324728610975401	0.242468633047351	-1.3392602865542	0.18048595245435	0.999680625307699
Fbxo9	917.795806124335	-0.0468763075091481	0.0749520835163831	-0.625417003903593	0.531697404957856	0.999680625307699
Vps50	379.1889650537	0.0211594190841457	0.100761547213051	0.209994979924297	0.833671591124716	0.999680625307699
Hars	831.260872104123	0.039881538317646	0.0775592925558576	0.514207092450251	0.607107209597996	0.999680625307699
Zmat2	1354.45071136067	0.0708411786359009	0.0765617473333758	0.925281633495569	0.354819429856678	0.999680625307699
Ube2c	55.5653172442592	-0.0936113627012433	0.291990131443341	-0.320597693622424	0.748515285650474	0.999680625307699
